user_id,prod_id,rating,label,date
5044,0,1,-1,11/16/2014
5045,0,1,-1,9/8/2014
5046,0,3,-1,10/6/2013
5047,0,5,-1,11/30/2014
5048,0,5,-1,8/28/2014
5049,0,5,-1,7/16/2013
5050,0,5,-1,3/3/2013
5051,0,1,1,12/5/2014
5052,0,2,1,11/26/2014
5053,0,4,1,11/17/2014
5054,0,3,1,10/20/2014
5055,0,5,1,10/13/2014
5056,0,5,1,10/7/2014
5057,0,2,1,10/6/2014
5058,0,5,1,9/22/2014
5059,0,5,1,9/22/2014
5060,0,5,1,9/11/2014
5061,0,4,1,9/10/2014
5062,0,5,1,9/8/2014
5063,0,2,1,8/30/2014
5064,0,2,1,8/19/2014
5065,0,5,1,8/5/2014
5066,0,2,1,8/4/2014
5067,0,5,1,8/1/2014
5068,0,4,1,7/30/2014
5069,0,4,1,7/23/2014
5070,0,4,1,6/29/2014
5071,0,1,1,5/20/2014
5072,0,4,1,4/18/2014
5073,0,5,1,4/9/2014
5074,0,5,1,3/30/2014
5075,0,5,1,3/15/2014
5076,0,1,1,3/12/2014
5077,0,1,1,2/20/2014
5078,0,4,1,2/19/2014
5079,0,5,1,2/16/2014
5080,0,2,1,2/10/2014
5081,0,4,1,2/2/2014
5082,0,4,1,1/25/2014
5083,0,4,1,1/20/2014
5084,0,4,1,1/16/2014
5085,0,5,1,1/16/2014
5086,0,3,1,1/15/2014
5087,0,5,1,1/9/2014
5088,0,2,1,12/31/2013
5089,0,4,1,12/12/2013
5090,0,1,1,12/8/2013
5091,0,3,1,11/25/2013
5092,0,3,1,11/23/2013
5093,0,5,1,11/21/2013
5094,0,5,1,11/12/2013
5095,0,2,1,11/9/2013
5096,0,4,1,11/4/2013
5097,0,4,1,11/2/2013
5098,0,3,1,10/28/2013
5099,0,4,1,10/25/2013
5100,0,5,1,10/20/2013
5101,0,4,1,10/2/2013
5102,0,4,1,9/28/2013
5103,0,4,1,9/11/2013
5104,0,3,1,7/23/2013
5105,0,4,1,7/22/2013
5106,0,4,1,7/7/2013
5107,0,4,1,6/20/2013
5108,0,1,1,6/13/2013
5109,0,5,1,6/7/2013
5110,0,4,1,6/2/2013
5111,0,5,1,6/1/2013
5112,0,2,1,5/28/2013
5113,0,3,1,5/24/2013
5114,0,4,1,5/7/2013
5115,0,3,1,5/2/2013
5116,0,4,1,4/20/2013
5117,0,5,1,4/9/2013
5118,0,5,1,4/8/2013
5119,0,4,1,4/7/2013
5120,0,2,1,4/7/2013
5121,0,3,1,4/1/2013
5122,0,3,1,3/30/2013
5123,0,4,1,3/27/2013
5124,0,1,1,3/21/2013
5125,0,5,1,3/14/2013
5126,0,4,1,3/9/2013
5127,0,3,1,3/1/2013
5128,0,4,1,2/26/2013
5129,0,5,1,2/21/2013
5130,0,4,1,2/13/2013
5131,0,2,1,2/12/2013
5132,1,1,-1,4/17/2014
5133,1,1,-1,7/23/2013
5134,1,1,-1,4/13/2013
5135,1,1,-1,3/18/2010
5136,1,2,-1,5/20/2014
5137,1,4,-1,9/22/2013
5138,1,4,-1,8/24/2013
5139,1,4,-1,12/12/2012
5140,1,4,-1,5/11/2011
5141,1,5,-1,10/4/2010
5142,1,5,-1,9/25/2010
5143,1,4,1,5/11/2014
